postgres-1  | 2026-09-06 14:57:55.730 UTC [3217] LOG:  process 3217 acquired ShareLock on transaction 3559 after 1001.044 ms
postgres-1  | 2026-09-06 14:57:55.730 UTC [3186] LOG:  process 3186 acquired ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 2007.979 ms
postgres-1  | 2026-09-06 14:57:55.733 UTC [3224] LOG:  process 3224 still waiting for ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1001.248 ms
postgres-1  | 2026-09-06 14:57:55.736 UTC [3222] LOG:  process 3222 acquired ShareLock on transaction 3560 after 1007.666 ms
postgres-1  | 2026-09-06 14:57:55.736 UTC [3188] LOG:  process 3188 acquired ShareLock on transaction 3560 after 7041.605 ms
postgres-1  | 2026-09-06 14:57:55.736 UTC [3212] LOG:  process 3212 acquired ExclusiveLock on tuple (5,106) of relation 16385 of database 16384 after 1923.540 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3209] LOG:  process 3209 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 9048.793 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3215] LOG:  process 3215 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 8712.579 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3218] LOG:  process 3218 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 7696.636 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3184] LOG:  process 3184 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 6869.881 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3208] LOG:  process 3208 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1710.687 ms
postgres-1  | 2026-09-06 14:57:55.737 UTC [3224] LOG:  process 3224 acquired ExclusiveLock on tuple (1,44) of relation 16385 of database 16384 after 1006.084 ms
postgres-1  | 2026-09-06 14:57:55.847 UTC [3187] LOG:  process 3187 still waiting for ExclusiveLock on tuple (4,94) of relation 16385 of database 16384 after 1002.189 ms
postgres-1  | 2026-09-06 14:57:56.054 UTC [3214] LOG:  process 3214 still waiting for ExclusiveLock on tuple (5,113) of relation 16385 of database 16384 after 1006.110 ms
